line_no,N,M_stored,M_pari,K_stored,K_pari,U_stored,U_pari,Q_stored,Q_pari,R_stored,R_pari,irreducible,max_off_circle,ok_irr,ok_M,ok_KUQR
41,16,1.252828663031636218866000399241832246186691577390819430010175134074468937,1.25282866303163621886600039924183224618669157739081943001018,2,2,12,12,4,4,0,0,1,0.119298290462214642824281462629883120429781071912908818182084,1,1,1
42,16,1.257316625602321873065898026831130952300738288245051377533146320854735782,1.25731662560232187306589802683113095230073828824505137753315,2,2,12,12,4,4,0,0,1,0.121301309016591611802721415198543546751397386105334440774105,1,1,1
43,16,1.266677526509251188453482223088884666342554229101145369474926421514616482,1.26667752650925118845348222308888466634255422910114536947493,2,2,12,12,4,4,0,0,1,0.125467692343610185273720973087268245131393133000239715034260,1,1,1
44,16,1.281341129376760182879377613627476538390253620390955710610618941807538473,1.28134112937676018287937761362747653839025362039095571061062,2,2,12,12,4,4,0,0,1,0.131963395776011912150738375169645501175058625983245654826479,1,1,1
45,16,1.289590102270265970416071638459396303942823059559560896322804183902719378,1.28959010227026597041607163845939630394282305955956089632280,2,2,12,12,4,4,0,0,1,0.135601207409654866300373053837296503337171126454386857401885,1,1,1
46,16,1.293493112484728483594758271080281313113891132620201104069919036215790136,1.29349311248472848359475827108028131311389113262020110406992,2,2,12,12,4,4,0,0,1,0.137318386593977686403967437107128341951475402008752562477211,1,1,1
47,16,1.297064774519235349841780970473886486992730335913321078847996846754273008,1.29706477451923534984178097047388648699273033591332107884800,2,2,12,12,4,4,0,0,1,0.138887516183769287101400547616560890157583559157958910231622,1,1,1
48,16,1.298032254275491344673575200498286641126850356946217879134989751442524140,1.29803225427549134467357520049828664112685035694621787913499,4,4,8,8,8,8,0,0,1,0.100229627150532892811983316169326687538301798392203443710881,1,1,1
51,18,1.188368147508223588142960958629593594704704560062905688741453371291960641,1.18836814750822358814296095862959359470470456006290568874145,1,1,16,16,0,0,2,2,1,0.188368147508223588142960958629593594704704560062905688741453,1,1,1
52,18,1.201396186234580954218298038399949086678790956494093869351671872974362741,1.20139618623458095421829803839994908667879095649409386935167,2,2,14,14,4,4,0,0,1,0.0960821986669526028436930530095025446161610240306353493655559,1,1,1
53,18,1.219446875940930338944480950247381932975045313380379322750623924694126696,1.21944687594093033894448095024738193297504531338037932275062,3,3,12,12,4,4,2,2,1,0.144298541972414305893368435824028269613940994537267910429551,1,1,1
54,18,1.219720859040311844169606760414677944390415505541569678287974417873384646,1.21972085904031184416960676041467794439041550554156967828797,1,1,16,16,0,0,2,2,1,0.219720859040311844169606760414677944390415505541569678287974,1,1,1
55,18,1.225503424103770858252691987604009472281033602387640679311328107918988756,1.22550342410377085825269198760400947228103360238764067931133,2,2,14,14,4,4,0,0,1,0.107024581526431534123071937227759904118860840921416424934916,1,1,1
56,18,1.231342769992739131401113399461872470064223972874402883273631603146796695,1.23134276999273913140111339946187247006422397287440288327363,3,3,12,12,4,4,2,2,1,0.151839505787134858336330002467480261284324486911818895060373,1,1,1
57,18,1.240770634959799575384897559774863467598517010078550783450558778046492361,1.24077063495979957538489755977486346759851701007855078345056,2,2,14,14,4,4,0,0,1,0.113898844132535930420326294423590359140400585566668399938952,1,1,1
58,18,1.244617058976112777683259993548796024419438452518815110406521077144531207,1.24461705897611277768325999354879602441943845251881511040652,3,3,12,12,4,4,2,2,1,0.143704748655018057885740656432402895994477018364368742352926,1,1,1
59,18,1.252775937410113900864582824053204309304769854195780259121070767220447362,1.25277593741011390086458282405320430930476985419578025912107,1,1,16,16,0,0,2,2,1,0.252775937410113900864582824053204309304769854195780259121071,1,1,1
60,18,1.256221154391670233067434043309669163943842183894362968698551997499450681,1.25622115439167023306743404330966916394384218389436296869855,1,1,16,16,0,0,2,2,1,0.256221154391670233067434043309669163943842183894362968698552,1,1,1
61,18,1.266334328968037021648541104985653352598712539335455667753911615379230170,1.26633432896803702164854110498565335259871253933545566775391,3,3,12,12,4,4,2,2,1,0.0928246874695789720410608718796988807108904621037687342291126,1,1,1
62,18,1.278742424399142535520285728511415412148278626953939961518307403846880543,1.27874242439914253552028572851141541214827862695393996151831,2,2,14,14,4,4,0,0,1,0.130814938174740657471643441951857728772333005219521615932762,1,1,1
63,18,1.280082037220361706265365572212203513660130765208600729506104891320767102,1.28008203722036170626536557221220351366013076520860072950610,3,3,12,12,4,4,2,2,1,0.181508110054198929053373997113239547029519657139529066596027,1,1,1
64,18,1.284616550925536736743131441485789494939191059613661928484866385712738555,1.28461655092553673674313144148578949493919105961366192848487,1,1,16,16,0,0,2,2,1,0.284616550925536736743131441485789494939191059613661928484866,1,1,1
65,18,1.285787140644657033774061802530034913325073973879138984045687293266019038,1.28578714064465703377406180253003491332507397387913898404569,3,3,12,12,4,4,2,2,1,0.168731267183950333157242814533062838741938698734660053354088,1,1,1
66,18,1.286395966836277224044411092745880239115725375942247231746941191653717183,1.28639596683627722404441109274588023911572537594224723174694,1,1,16,16,0,0,2,2,1,0.286395966836277224044411092745880239115725375942247231746941,1,1,1
67,18,1.286478694652494997780718217843500300271889681747546145170246975642808672,1.28647869465249499778071821784350030027188968174754614517025,2,2,14,14,4,4,0,0,1,0.134230441600160455586170273397776333772603450784092993928412,1,1,1
68,18,1.287893487040655049534054100165208640492042903973606446184416245611353451,1.28789348704065504953405410016520864049204290397360644618442,2,2,14,14,4,4,0,0,1,0.134853949651960743236133061843096083963181563743300034347838,1,1,1
69,18,1.289140044883270117768648434930394028105578281578904754104331043581901078,1.28914004488327011776864843493039402810557828157890475410433,3,3,12,12,4,4,2,2,1,0.0997145538200947370211355071279719010714350741163850085116758,1,1,1
70,18,1.295675371944048235295741653561740294973968668937571897650122796909196596,1.29567537194404823529574165356174029497396866893757189765012,1,1,16,16,0,0,2,2,1,0.295675371944048235295741653561740294973968668937571897650123,1,1,1
71,18,1.295738636398468506575240979020673480822966246033811101942246528535287518,1.29573863639846850657524097902067348082296624603381110194225,2,2,14,14,4,4,0,0,1,0.138305159611634417270151508920322687578050709390018471327690,1,1,1
72,18,1.296078447471461570693803180294492819604421608491665000907417293690816566,1.29607844747146157069380318029449281960442160849166500090742,2,2,14,14,4,4,0,0,1,0.138454411679036698480810902849043956889379245554662507405815,1,1,1
73,18,1.299243183981665827622586846607569850912530758085498839314040128088515983,1.29924318398166582762258684660756985091253075808549883931404,3,3,12,12,4,4,2,2,1,0.108299274085934692428903953748784793100130730988879368968568,1,1,1
76,20,1.212824180989156972749392576188725746283144096139121819952973797699997533,1.21282418098915697274939257618872574628314409613912181995297,2,2,16,16,4,4,0,0,1,0.101282970443635332230997936972101652180237231330426655292905,1,1,1
77,20,1.214995700775824931966390615639408353721405312385227025782348250631992215,1.21499570077582493196639061563940835372140531238522702578235,2,2,16,16,4,4,0,0,1,0.102268434083016337179940917822125854753908686479373002053511,1,1,1
78,20,1.218396362519935615271694829512653563487502386102768283560353258845680889,1.21839636251993561527169482951265356348750238610276828356035,2,2,16,16,4,4,0,0,1,0.103809930431836446282564296723938479190955336108790087717615,1,1,1
79,20,1.226993758166282170876269847028940185774444743548887647602840752948485114,1.22699375816628217087626984702894018577444474354888764760284,2,2,16,16,4,4,0,0,1,0.107697503006250425697777698794513192082900107601249936534797,1,1,1
80,20,1.232613548593121003962731694807909791411577371209831046729916582053839351,1.23261354859312100396273169480790979141157737120983104672992,1,1,18,18,0,0,2,2,1,0.232613548593121003962731694807909791411577371209831046729917,1,1,1
