N,M_PN,abs_diff_from_limit,gap_from_previous,K,U,Q,R
78,1.31529806819569521004799078331875140159230305282002604572430500873879868942884848130461801635982391795208920228643788979,5.986403e-02,1.160854e-02,12,54,24,0
80,1.31940069976016536107827559808509707077968623058036527574873598365302984921106651446370564592166334097297167378823387911,6.396666e-02,4.102632e-03,13,54,24,2
82,1.29191341828515324807248236725752991181369137297528097850756175028254273956992807715715126048270894230792327084650143086,3.647938e-02,2.748728e-02,10,62,20,0
84,1.31883190837435869296620441913237945514559374839274412067173878583471930974979677677758824364106455646988701170422649910,6.339787e-02,2.691849e-02,13,58,24,2
86,1.30110335418279674740702805448558932189651050102781052231228961303876554796640886432603555275485125134459792202563363011,4.566932e-02,1.772855e-02,12,62,24,0
88,1.31274097592769928805139000148656574493684558647179654793465400309780738037258533871108199939562642105706589818106862874,5.730694e-02,1.163762e-02,13,62,24,2
90,1.29764716863059875783176668190974404170317148515552702078376099560008109559554567110436432978546604525783705310323482773,4.221313e-02,1.509381e-02,14,62,28,0
92,1.31142229782826225628422490405986648898039369137898968318959896767964871712435568236572352703164124108693296712901286873,5.598826e-02,1.377513e-02,13,66,24,2
94,1.30237486105773226029543944786217251472661189078821032250785566724305288873575973545943476159224520901652145649735021807,4.694082e-02,9.047437e-03,14,66,28,0
96,1.31573092850875926462507100141198093788957692991238155886970103008155896433993934405623306423508350566912541768964011989,6.029689e-02,1.335607e-02,15,66,28,2
98,1.31447801100002504074452947827134471254243986991224354251293436271937800923968957677377951092066746794533553700202456855,5.904397e-02,1.252918e-03,16,66,32,0
100,1.29979110862267054780313371082756549188845117559214670815588851041188754583407847714837285180413569241884834888936818961,4.435707e-02,1.468690e-02,13,74,24,2
102,1.31737585227134760515218901006214342879654929890508768742960441005426766564622282415814076419359659756168504069326330263,6.194181e-02,1.758474e-02,16,70,32,0
104,1.30577406268698469845451794080163857254128390634767409751726547789576387237609547127817709903944197912914179818825162080,5.034002e-02,1.160179e-02,15,74,28,2
106,1.31190208763214262266666366614658490279237812243648442958540934934551234896829975489690538225316089469009667257257412821,5.646805e-02,6.128025e-03,16,74,32,0
108,1.29918399290453035673458339692183398269191994939240650698714928716490584340000601156969951702138695941234591065466218731,4.374996e-02,1.271809e-02,15,78,28,2
110,1.31289917378131625728131191462885523684518202212412450923392326983454151622887873902001852404645550561139719989254265692,5.746514e-02,1.371518e-02,16,78,32,0
112,1.29385739654060688293179365087254081969102709967451305039274017183073519238884044178251133114530769111264319584736866034,3.842336e-02,1.904178e-02,15,82,28,2
114,1.31531870621046383329600175837797464726208356620735284766802449575053817199388973288825966109295091097007452540143851770,5.988467e-02,2.146131e-02,18,78,36,0
116,1.30877094309421357858148495314207376696601889907522845527039366009199880190868091883860212444653453524792577767821143738,5.333691e-02,6.547763e-03,19,78,36,2
118,1.30431610704690410397632919380418658981274688907247731083616394639093879474050633268942708146475145664218690107636340002,4.888207e-02,4.454836e-03,16,86,32,0
120,1.31583123076876946854428483989348667320953143728442742697561671336764627198874464498087157642783612663496748018968214530,6.039719e-02,1.151512e-02,19,82,36,2
122,1.30820731460135446003630320027053507957015839382152115732038304187266686572011747234170781358499380959782695025623704960,5.277328e-02,7.623916e-03,18,86,36,0
