a,d,sign,m,deg_P,n_factors,M_P,deg_smallest_factor,M_smallest_factor,in_db
2,3,1,47,48,2,1.245372900785749839714557,42,1.245372900785749839714557,True
2,3,1,49,50,1,1.267296723888124567770781,50,1.267296723888124567770781,True
2,3,1,51,52,2,1.235496042192873620409562,46,1.235496042192873620409562,True
2,3,1,53,54,1,1.262917418611867328227516,54,1.262917418611867328227516,True
2,3,1,55,56,1,1.254901282850397169169548,56,1.254901282850397169169548,True
2,3,1,57,58,2,1.256963641913383004817082,54,1.256963641913383004817082,True
2,3,1,59,60,1,1.263246708285889340237822,60,1.263246708285889340237822,True
2,3,1,61,62,2,1.250334196140872218411107,56,1.250334196140872218411107,True
2,3,1,63,64,2,1.263821626752025036987854,60,1.263821626752025036987854,True
2,3,1,65,66,2,1.243486256655850667586361,60,1.243486256655850667586361,True
2,3,1,67,68,1,1.261426251747992114077744,68,1.261426251747992114077744,True
2,3,1,69,70,1,1.251145889758182756526647,70,1.251145889758182756526647,True
2,3,1,71,72,1,1.257568388747810001145413,72,1.257568388747810001145413,True
2,3,1,73,74,1,1.260332485910111871592835,74,1.260332485910111871592835,True
2,3,1,75,76,2,1.252948514658515538672735,70,1.252948514658515538672735,True
2,3,1,77,78,1,1.261690480601199678750172,78,1.261690480601199678750172,True
2,3,1,79,80,2,1.247944416885735508070764,74,1.247944416885735508070764,True
2,3,1,81,82,2,1.260418453177949878236835,78,1.260418453177949878236835,True
2,3,1,83,84,2,1.242775741593381148639499,76,1.242775741593381148639499,True
2,3,1,85,86,1,1.257812319597788250132979,86,1.257812319597788250132979,True
2,3,1,87,88,2,1.258305744531433918306269,84,1.258305744531433918306269,True
2,3,1,89,90,2,1.254454353312687784408954,84,1.254454353312687784408954,True
2,3,1,91,92,1,1.260216929742628492303340,92,1.260216929742628492303340,True
2,3,1,93,94,2,1.250662320329642037952421,88,1.250662320329642037952421,True
2,3,1,95,96,1,1.259663102909568352268182,96,1.259663102909568352268182,True
2,3,1,97,98,2,1.246627220458831602298322,90,1.246627220458831602298322,True
2,3,1,99,100,1,1.257875940609695670890019,100,1.257875940609695670890019,True
2,3,1,101,102,1,1.256695579975884543693432,102,1.256695579975884543693432,True
2,3,1,103,104,2,1.255370091414111498485768,98,1.255370091414111498485768,True
2,3,1,105,106,2,1.259103833320118015175466,102,1.259103833320118015175466,True
2,3,1,107,108,2,1.252422204755107919765265,102,1.252422204755107919765265,True
2,3,1,109,110,1,1.259055919636281057373069,110,1.259055919636281057373069,True
2,3,1,111,112,2,1.249199962029551800042487,108,1.249199962029551800042487,True
2,3,1,113,114,1,1.257842210059293257847043,114,1.257842210059293257847043,True
2,3,1,115,116,1,1.255215715065017548620324,116,1.255215715065017548620324,True
2,3,1,117,118,2,1.255943946685708868191561,112,1.255943946685708868191561,True
2,3,1,119,120,1,1.258200232204953701366241,120,1.258200232204953701366241,True
2,3,1,121,122,2,1.253610892159590932442121,116,1.253610892159590932442121,True
2,3,1,123,124,1,1.258542133152260519103397,124,1.258542133152260519103397,True
2,3,1,125,126,1,1.250993297070319970242997,126,1.250993297070319970242997,True
2,3,1,127,128,1,1.257752724931534996263160,128,1.257752724931534996263160,True
2,3,1,129,130,2,1.253518036303428426471318,126,1.253518036303428426471318,True
2,3,1,131,132,2,1.256306783364628617154470,126,1.256306783364628617154470,True
2,3,1,133,134,1,1.257417655788886252085442,134,1.257417655788886252085442,True
2,3,1,135,136,3,1.254437900825450548860957,126,1.254437900825450548860957,True
2,3,1,137,138,1,1.258089384548745698891864,138,1.258089384548745698891864,True
2,3,1,139,140,1,1.252283873087716762700567,140,1.252283873087716762700567,True
2,3,1,141,142,1,1.257629614864009241126424,142,1.257629614864009241126424,True
2,3,1,143,144,2,1.249934333236560676738030,136,1.249934333236560676738030,True
2,3,1,145,146,2,1.256532746860610444194373,140,1.256532746860610444194373,True
2,3,1,147,148,1,1.256694371726343699025422,148,1.256694371726343699025422,True
2,3,1,149,150,2,1.255024859096839338781354,144,1.255024859096839338781354,True
2,3,1,151,152,1,1.257676426902037933411304,152,1.257676426902037933411304,True
2,3,1,153,154,2,1.253235348019857621708762,150,1.253235348019857621708762,True
2,3,1,155,156,1,1.257485061469211065931971,156,1.257485061469211065931971,True
2,3,1,157,158,2,1.251247399598253521213020,150,1.251247399598253521213020,True
2,3,1,159,160,3,1.256666238139430178454936,150,1.256666238139430178454936,True
2,3,1,161,162,1,1.255973816583541640297767,162,1.255973816583541640297767,True
2,3,1,163,164,2,1.255446321343308504448317,158,1.255446321343308504448317,True
2,3,1,165,166,1,1.257287655686650284084958,166,1.257287655686650284084958,True
2,3,1,167,168,1,1.253949706440119721957107,168,1.253949706440119721957107,True
2,3,1,169,170,1,1.257325786861371443931478,170,1.257325786861371443931478,True
