N,M_PN,abs_diff_from_limit,gap_from_previous,K,U,Q,R
524,1.25550949425959180412790595240199234851234152804927246290000034460889743297546401151047349607282874984047266793646492480,7.545653e-05,1.763720e-04,35,454,68,2
526,1.25571866114639880429568308489551740123925521707050651471197554409973346631679327487125806663609730392511685251449598535,2.846234e-04,2.091669e-04,36,454,72,0
528,1.25526257131111327628621289241477872868482714305637027094400971767446811625578453429784993341229640383900267362324065804,1.714664e-04,4.560898e-04,35,458,68,2
530,1.25578608820198074636639081259522394849219942891764393240381616940295674751342205783553304642004593144715315989095488164,3.520505e-04,5.235169e-04,36,458,72,0
532,1.25496515386826152785739028470405186157050359807475954621827112043124421940049504939683089845518434744688260456986955644,4.688839e-04,8.209343e-04,35,462,68,2
534,1.25571666653385259343389763448175852229661989882056317769326589927549003365823719157317734638231316823668016474341234755,2.826288e-04,7.515127e-04,36,462,72,0
536,1.25503767014381834978590695124426000928163484080318482899355121864474026875425826039639111127967684374456883204650046696,3.963676e-04,6.789964e-04,37,462,72,2
538,1.25555940885616387440565583286822479450759015632719851409602930009634166547834854303395304381473196938992201187570892074,1.253711e-04,5.217387e-04,36,466,72,0
540,1.25565432806604313984834121755012899514187618315239804495713572574808184186442332774385159326761973707030785112837265369,2.202903e-04,9.491921e-05,37,466,72,2
542,1.25533736784477897938394286716931287715209043090761936811488473483622869323436980118703620581460977043994781179929970929,9.666988e-05,3.169602e-04,36,470,72,0
544,1.25577029001368318265708451985754195419588485823982393804954213747805661063860138457029099261554873075801378468278218033,3.362523e-04,4.329222e-04,37,470,72,2
546,1.25506407196751586334908612789462219135572650582399767605745136830607906337273409898890338515813610289462837788867577737,3.699658e-04,7.062180e-04,36,474,72,0
548,1.25573212787117561582836844943259870686496777719483400767780902293512409766192399110472813789821485811302178990801534168,2.980901e-04,6.680559e-04,37,474,72,2
550,1.25474851326848117030014349193037544849649415561017851577393745813948896843674831957666672996319035052043235732407064264,6.855245e-04,9.836146e-04,36,478,72,0
552,1.25560090846044957623452563098370497880722670234239989654017234493522600944427039549230122606993354084527424600691964669,1.668707e-04,8.523952e-04,37,478,72,2
554,1.25557206186238795502920606931578203051054265320160157602603594847467773989552825295758334465731882502410020871612738363,1.380241e-04,2.884660e-05,38,478,76,0
556,1.25540281989333260304894592912492608097332222033395200416945309388486347229766807773287087761832968638256533527176040227,3.121783e-05,1.692420e-04,37,482,72,2
558,1.25574575914062519780041243817923884918470249074841024230758336022573564097528929848665719374119344374836711564527006739,3.117214e-04,3.429392e-04,38,482,76,0
560,1.25515254149446738653198023749911310212161516597410335758952016629188665420208894148572110351995966927085882546449528895,2.814962e-04,5.932176e-04,37,486,72,2
